Name,Lean,Money,Frequency
PAC,C,18211782,42
for,C,24936115,26
Fund,C,62988671,22
PAC,L,104705972,18
Action,C,60693018,15
America,C,5055895,12
American,C,29987134,10
Leadership,C,18346952,10
Conservatives,C,5957510,9
New,C,3364985,8
Freedom,C,25097179,6
Action,L,26641620,6
for,L,10175048,6
Super,C,3723079,6
Citizens,C,4463290,6
Values,C,2918562,6
Priorities,C,1661141,6
Conservative,C,613387,6
Assn,X,10616676,5
of,L,10334628,5
to,C,2358032,5
America's,C,1130930,5
Our,C,449289,5
Future,C,496837,5
Strong,C,7089708,4
Iowa,C,1292117,4
Government,C,2001393,4
Network,C,2339834,4
of,C,1226027,4
National,C,1154671,4
Cmte,C,613906,4
Alliance,C,677907,4
Working,L,616414,4
Jobs,C,689468,4
America,L,495260,4
Majority,L,76083429,3
USA,L,5663109,3
Votes,L,4261204,3
Independent,L,4898717,3
Senate,C,2684357,3
Women,C,2725691,3
a,C,2313354,3
Voices,L,2399118,3
Americans,C,2685204,3
Cmte,L,1154694,3
Hampshire,C,1378737,3
Liberty,C,764286,3
Project,L,1266246,3
in,C,838170,3
Republican,C,625120,3
Prosperity,C,741135,3
We,L,494272,3
Campaign,C,442364,3
Responsible,C,398147,3
Progressive,L,347879,3
the,C,269861,3
Better,C,209448,3
Forward,L,201852,3
Empower,C,114495,3
Massachusetts,C,139950,3
Colorado,C,51946,3
Senate,L,50542789,2
House,L,29429661,2
Climate,L,19523538,2
Alaska,L,12167879,2
of,X,9990338,2
League,L,9575278,2
Conservation,L,9575278,2
Voters,L,9575278,2
Americans,L,8260981,2
Growth,C,8011981,2
Fund,L,5844133,2
Planned,L,4482263,2
Parenthood,L,4482263,2
Committee,L,3958416,2
to,L,3958416,2
Elect,L,3958416,2
Working,C,2262038,2
Mississippi,C,1893264,2
Main,C,1984436,2
Street,C,1984436,2
Patriots,C,1418829,2
Better,L,1569359,2
Independent,C,888440,2
For,C,945074,2
Heartland,C,770002,2
Together,L,700605,2
&,C,1053543,2
Grow,C,666515,2
Innovation,L,711203,2
Michigan,L,854206,2
Right,C,552456,2
Life,C,552456,2
Victory,C,704750,2
USA,C,452401,2
Super,L,416573,2
American,X,392249,2
Opportunity,C,501347,2
a,L,420613,2
United,L,643258,2
Workers,L,643258,2
Power,L,373097,2
&,L,471481,2
Patriot,C,288895,2
Keep,C,372629,2
United,C,488462,2
Council,C,292121,2
Protect,C,196697,2
Protecting,L,239606,2
California,L,227645,2
Spirit,C,179038,2
Democracy,C,274226,2
We,C,126122,2
Louisiana,C,103220,2
Nebraska,C,163295,2
IE,L,135835,2
Taxpayers,C,86122,2
Vote,L,72035,2
Majority,C,89559,2
Group,C,73971,2
New,L,44591,2
Campaign,L,16561,2
Carolina,C,11930,2
Person,C,916,2
Partners,C,23410113,1
Ending,C,22585431,1
Spending,C,22585431,1
Crossroads,C,21860037,1
NextGen,L,19504503,1
Put,L,10157335,1
First,L,10157335,1
Congressional,C,10098748,1
National,X,9979338,1
Realtors,X,9979338,1
Responsible,L,8220162,1
Solutions,L,8220162,1
Women,L,8172295,1
Vote!,L,8172295,1
Club,C,7841435,1
Mayday,L,7607738,1
Kentuckians,C,6409610,1
NEA,L,5798883,1
Advocacy,L,5798883,1
Independence,L,5581784,1
Unity,C,4778405,1
an,L,3891371,1
John,C,3064563,1
Bolton,C,3064563,1
Fair,L,2773536,1
Share,L,2773536,1
B-PAC,C,2705938,1
Speak,C,2384957,1
Out,C,2384957,1
Every,L,2240743,1
Voice,L,2240743,1
AFL-CIO,L,2136904,1
Workers',L,2136904,1
SalmonPAC,L,2010544,1
Virginia,L,1827242,1
Progress,L,1827242,1
Arkansas,C,1805900,1
Horizon,C,1805900,1
Freedomworks,C,1729870,1
Service,L,1727059,1
Employees,L,1727059,1
International,L,1727059,1
Union,L,1727059,1
Vote,C,1720671,1
Reduce,C,1720671,1
Debt,C,1720671,1
