Name,Lean,Money,Frequency
PAC,C,112895232,63
PAC,L,144592504,40
for,C,42877871,36
America,C,84336286,32
Fund,C,190656434,25
for,L,18351799,22
Action,C,72360031,14
America,L,3872478,13
Action,L,160538645,11
Leadership,C,132425710,11
Freedom,C,31951481,11
American,C,3839163,11
&,C,2407006,10
Right,C,93831420,8
to,C,87868172,8
Conservative,C,56584728,8
Fund,L,11859766,8
Victory,C,1441729,8
Louisiana,C,1117418,8
United,L,19309847,7
For,L,11742240,7
New,L,6853344,7
Opportunity,C,2752137,7
Working,L,4300705,7
&,L,554963,7
PAC,X,160533,7
New,C,22712356,6
Super,C,6341252,6
the,C,4351563,6
Progress,L,1364725,6
Priorities,C,151501,6
Majority,L,123576857,5
We,L,14060676,5
Prosperity,C,4690458,5
Liberty,C,2270405,5
Tea,C,1653879,5
Party,C,1653879,5
Patriots,C,1584183,5
Strong,C,2337800,5
Future,C,1335478,5
United,C,1173312,5
Forward,L,1791486,5
Life,C,1004320,5
of,C,503207,5
Americans,C,340918,5
USA,L,146909463,4
of,L,16780572,4
Make,C,13968095,4
For,C,20820517,4
Future,L,10587325,4
Cmte,C,14687223,4
America's,C,5443920,4
Again,C,3023354,4
a,L,2534228,4
Leadership,L,2446213,4
Citizens,C,2328812,4
Conservatives,C,1440404,4
Committee,L,998717,4
Workers,L,969397,4
Campaign,C,701413,4
Bernie,L,8075,4
Solutions,C,79821569,3
State,C,24828258,3
Our,C,18493347,3
California,L,13270126,3
Votes,L,13434947,3
Assn,X,10572516,3
of,X,10891927,3
Our,L,9833167,3
American,L,6228201,3
Jobs,L,6222729,3
Independent,C,6563517,3
First,C,4517056,3
is,C,3902410,3
Maryland,C,3530733,3
Strong,L,2859329,3
Middle,L,3715829,3
Class,L,3715829,3
Keep,C,3568837,3
Voices,L,2252185,3
Super,L,1420952,3
Grow,C,1904701,3
People,C,821496,3
Ohio,L,1290959,3
A,L,765062,3
American,X,976508,3
Families,L,1099606,3
Working,C,184893,3
Great,C,227682,3
Michigan,L,164960,3
Network,C,212212,3
Restore,C,112244,3
Now,L,129568,3
Vote,L,96449,3
Go,C,74624,3
USA,C,90011028,2
Senate,C,86860257,2
Granite,C,24319879,2
Now,C,22460258,2
Growth,C,19494251,2
Principles,C,18729677,2
Voters,L,21569966,2
NextGen,L,22914735,2
Planned,L,12751464,2
Parenthood,L,12751464,2
Day,C,15701555,2
Illinois,L,10164027,2
Climate,L,9818504,2
Stand,C,9710941,2
Truth,C,9572292,2
Fighting,C,9363429,2
Reform,C,7313325,2
2016,C,6444486,2
Republican,C,5401362,2
National,L,4983360,2
Florida,C,4830694,2
Project,C,4471653,2
Arizona,C,4504116,2
Advocacy,L,3990621,2
Greatness,C,3533714,2
Government,C,3417073,2
Main,C,2767893,2
Street,C,2767893,2
John,C,2584364,2
Fair,L,2552165,2
Promise,C,3563152,2
Voice,C,2032825,2
Illinois,C,2019025,2
Jobs,C,1288498,2
California's,L,1358160,2
in,C,1316579,2
National,C,1686005,2
Citizen,C,1121998,2
SuperPAC,C,1640492,2
Coalition,L,1025623,2
Better,L,763028,2
Rights,L,692783,2
Campaign,L,654012,2
Equality,L,689541,2
Louisiana,L,653614,2
North,C,564710,2
Californians,L,623150,2
Innovation,L,519763,2
Power,L,402681,2
Union,L,346291,2
the,L,236446,2
Valor,C,435262,2
Common,L,233908,2
Sense,L,233908,2
Prosperity,L,212077,2
Values,C,335349,2
House,C,232194,2
Taxpayers,C,201239,2
The,L,301274,2
Washington,C,269704,2
21st,L,197214,2
Century,L,197214,2
Express,C,275804,2
Blue,L,248594,2
Cmte,L,155947,2
Citizens,L,107591,2
Texans,C,157874,2
York,L,95474,2
Project,L,128348,2
Character,C,98961,2
Iowa,C,82724,2
A,C,80406,2
Rising,C,88733,2
Committee,C,80000,2
Colorado,C,57867,2
Protect,C,91187,2
Super,X,51214,2
Republicans,C,51147,2
Voice,L,57156,2
Protecting,L,57731,2
Freedom,L,45094,2
Coalition,C,62720,2
Make,L,46940,2
First,L,44772,2
Tomorrow,C,28237,2
Pac,L,29860,2
Stop,L,7166,2
Together,L,6891,2
to,L,4555,2
Progressive,L,7428,2
Sanders,L,2541,2
America's,L,138,2
Priorities,L,133407972,1
Rise,C,86817138,1
Senate,L,75413426,1
House,L,47470121,1
Congressional,C,40125691,1
Women,L,33167285,1
Vote!,L,33167285,1
Partners,C,29728798,1
Future45,C,24264009,1
Rebuilding,C,21194739,1
Club,C,19181962,1
Leads,C,18578852,1
League,L,15692929,1
Conservation,L,15692929,1
Ending,C,14849162,1
Spending,C,14849162,1
Can,L,13734163,1
Number,C,13432394,1
1,C,13432394,1
Independence,L,13429757,1
National,X,10225968,1
Realtors,X,10225968,1
Leading,L,9922027,1
Tomorrow,L,9922027,1
Ohio,C,9256429,1
Immigrant,L,5877037,1
Win,L,5877037,1
RGA,C,5426468,1
Direction,C,5426468,1
Nurses,L,4979225,1
Trusted,C,4881844,1
Media,C,4512258,1
Grassroots,C,4264741,1
NEA,L,3986486,1
Security,C,3845349,1
Strength,C,3845349,1
Carly,C,3837155,1
Pennsylvania,C,3654781,1
Pursuing,C,3517714,1
Save,C,3415286,1
From,C,3415286,1
Its,C,3415286,1
ClearPath,C,3051587,1
Black,L,2979999,1
Defending,C,2765393,1
Purple,C,2738137,1
Believe,C,2634870,1
Bolton,C,2577384,1
Share,L,2541465,1
Floridians,L,2461655,1
Unity,C,2431134,1
III,C,2273763,1
Unintimidated,C,2249018,1
Restoration,C,2208294,1
Us,L,1668982,1
