Name,Lean,Money,Frequency
PAC,C,69380604,63
PAC,L,243345086,41
Fund,C,244612434,31
for,C,28161512,27
for,L,9790204,27
Action,C,69209849,22
Action,L,7610058,19
America,C,32693273,16
Conservative,C,3029337,16
American,C,3265706,11
Leadership,C,234103824,10
Progress,L,2751674,10
for,X,8445650,9
America,L,2249306,9
New,C,38775991,8
Fund,L,14110420,8
Planned,L,6828400,8
Victory,C,2028047,8
&,C,1034361,8
First,C,30003657,7
Change,L,9699236,7
&,L,6381057,7
Freedom,C,3164214,7
United,L,3617133,7
Citizens,L,1365856,7
California,L,1719176,7
New,L,8004632,6
Americans,C,8025827,6
Our,L,8154889,6
Citizens,C,2131885,6
Values,L,2344835,6
a,L,1715588,6
Values,C,1763447,6
the,L,1108500,6
Ohio,C,1171228,6
American,X,859057,6
Life,C,656642,6
Our,C,1046905,6
Majority,L,184415509,5
Voters,L,16665374,5
Strong,C,1563772,5
Better,L,1684282,5
Vote,L,1234675,5
America,X,693685,5
PAC,X,716595,5
Right,C,732692,5
Texas,C,1006030,5
Future,C,1045126,5
Veterans,X,141130,5
of,L,17098645,4
Assn,X,10812084,4
of,X,10758271,4
Now,L,8621820,4
American,L,7922315,4
Votes,L,8353060,4
Wisconsin,C,8648880,4
Future,L,3680981,4
CFG,C,8813747,4
We,L,1490863,4
a,C,2779707,4
Women,C,2157244,4
Conservatives,C,1668773,4
Committee,L,1826899,4
Working,L,1514133,4
Project,L,667376,4
United,X,525479,4
Coalition,C,456368,4
Liberty,C,402355,4
Ohio,L,331281,4
Alliance,C,143057,4
A,C,138386,4
Senate,C,98159910,3
Republican,C,31746959,3
Fund,X,10537747,3
Jobs,L,7864344,3
Prosperity,C,7435112,3
Parenthood,L,5586217,3
Campaign,L,3110598,3
Patriots,C,2007716,3
National,C,2022095,3
Alliance,L,1632649,3
United,C,1094971,3
Super,C,1053645,3
Fight,L,664870,3
Back,L,407806,3
For,C,520640,3
in,L,674665,3
Super,L,445268,3
Arizona,C,256413,3
Swamp,C,194739,3
the,C,165174,3
Police,X,148200,3
of,C,186338,3
Principles,C,127550,3
The,L,69556,3
Opportunity,C,60540,3
Alliance,X,45000,3
Blue,L,19093,3
Independence,L,38124797,2
Conservation,L,16305803,2
Growth,C,13123081,2
Action,X,11735231,2
Integrity,C,7164999,2
Jersey,C,7174299,2
Texans,C,5530101,2
NextGen,L,4129244,2
Climate,L,4176987,2
Defending,C,4243650,2
For,L,3263885,2
Missouri,C,5294732,2
Rights,L,2755202,2
Reform,C,2158217,2
Justice,L,2035572,2
