Name,Lean,Money,Frequency
for,C,7627504,9
PAC,L,1402883,6
Action,L,7321791,4
PAC,C,1968785,4
America,C,2874701,3
New,C,1802194,3
Fund,C,1213819,3
of,L,1303086,3
United,L,568171,3
Workers,L,526295,3
America,L,550380,3
2010,L,701581,3
America's,L,6188276,2
Fund,L,10218958,2
Club,C,4973069,2
Together,C,1689493,2
Majority,L,2226554,2
Assn,X,1278305,2
Working,L,1031557,2
for,L,1132029,2
of,C,816062,2
Power,L,342669,2
Leadership,L,445715,2
Council,L,445715,2
Citizens,C,289879,2
Working,C,303883,2
Americans,C,328580,2
Leadership,C,328580,2
Protecting,L,389842,2
American,X,186324,2
America's,C,153612,2
Cmte,C,143879,2
Cmte,L,190780,2
Patriots,C,46880,2
Tea,C,12091,2
American,C,21652707,1
Crossroads,C,21652707,1
Families,L,6018958,1
First,L,6018958,1
Growth,C,4946457,1
Action,C,4946457,1
NEA,L,4200000,1
Advocacy,L,4200000,1
Women,L,3602642,1
Vote!,L,3602642,1
Commonsense,L,3262129,1
Ten,L,3262129,1
Super,C,1830472,1
Alaskans,C,1640389,1
Standing,C,1640389,1
Prosperity,C,1542444,1
Foundation,C,1542444,1
First,C,1486960,1
Amendment,C,1486960,1
Alliance,C,1486960,1
Patriot,L,1239949,1
Ending,C,1150000,1
Spending,C,1150000,1
National,X,1097266,1
of,X,1097266,1
Realtors,X,1097266,1
Us,L,881557,1
League,L,822259,1
Conservation,L,822259,1
Voters,L,822259,1
Concerned,C,789450,1
Taxpayers,C,789450,1
The,L,723061,1
American,L,723061,1
Worker,L,723061,1
Mine,L,330827,1
a,C,254779,1
Florida,L,250472,1
Is,L,250472,1
Not,L,250472,1
Sale,L,250472,1
Choice,L,220524,1
in,L,220524,1
California,L,220524,1
Accountability,L,213382,1
Sierra,L,195001,1
Club,L,195001,1
Independent,L,195001,1
National,L,191876,1
Nurses,L,191876,1
Trust,C,190451,1
In,C,190451,1
Small,C,190451,1
Business,C,190451,1
Dental,X,181039,1
Kentucky,L,178040,1
Planned,L,176803,1
Parenthood,L,176803,1
Votes,L,176803,1
Retirees,L,169318,1
Restore,C,151575,1
Voice,C,151575,1
Communications,L,150000,1
Voices,L,150000,1
SpeechNow.org,C,135314,1
Emergency,C,130079,1
Israel,C,130079,1
We,C,126222,1
Love,C,126222,1
USA,C,126222,1
Environment,L,121227,1
Colorado,L,121227,1
Conservatives,C,100000,1
Truth,C,100000,1
Alliance,L,95800,1
to,L,95800,1
Protect,L,95800,1
Taxpayers,L,95800,1
Louisiana,L,92840,1
Truth,L,92840,1
Ethical,C,82630,1
Blue,L,69553,1
IE,L,69553,1
Arizonans,C,49104,1
Californians/Fiscally,C,47000,1
Conservative,C,47000,1
Ldshp,C,47000,1
Food,L,45468,1
&,L,45468,1
Commercial,L,45468,1
Advcy,L,45468,1
Lantern,L,39975,1
Project,L,39975,1
Frack,X,35987,1
Action,X,35987,1
USA,X,35987,1
Economic,C,35100,1
&,C,35100,1
National,C,35100,1
Security,C,35100,1
Lincoln,C,26612,1
Orange,C,26612,1
County,C,26612,1
Faith,C,24750,1
Family,C,24750,1
Freedom,C,24750,1
ProgressOhio,L,21800,1
Matthew,L,20582,1
25,L,20582,1
Network,L,20582,1
US,L,16264,1
Israel,L,16264,1
Friendship,L,16264,1
House,C,13800,1
Independent,C,13800,1
Expenditure,C,13800,1
New,L,11842,1
Texas,C,7811,1
Party,C,7811,1
Vietnamese,X,5285,1
Super,X,5285,1
PAC,X,5285,1
Peach,C,4280,1
Partnership,C,2037,1
Future,C,2037,1
